sku,department_id
GUITAR-D-38-BLS,DEP201902310759589113842
SBED-G-L178-LI-GY-A,DEP201902310751444239204
CC-WD-8C-4B,DEP201902310754091356863
STL-SCL-01N,DEP201902310759448558018
WBED-B-T3-92-B,DEP201902310754091356863
WBED-B-T1-92-A,DEP201902310754091356863
GUITAR-D-41-BK,DEP201902310759589113842
HBL-UFO-210C-WH,DEP201709261130013244134
OCHAIR-G-9313-FT-BK,DEP201902310752047117844
FURNI-GLOSS-TV-160BK-A,DEP201902310751444239204
GH-POLY-40X30-GR-A,DEP201902310753504667490
CC-WD-8C-8D-T,DEP201902310754091356863
LUG-ABS-AJ-3IN1-WH,DEP201902310754091356863
FLR-2133-120X170-GR,DEP201902310752047117844
PV-AS-400-BLACK,DEP201902310752195804722
PCAW-PART-5IN1-L,DEP201902310753504667490
OTM-ARM-L133-GY,DEP201902310751444239204
DIFF-AD26-DW,DEP201902310752047117844
FURNI-TV-118-WH-A,DEP201902310751444239204
DESK-120-BR-B,DEP201902310751444239204
FURNI-G-SHOE-3D3R-WD-WH-B,DEP201902310751444239204
FURNI-G-TOY110-WH,DEP201902310751444239204
HASD-101DB-BK-C-140,DEP201902310751052943410
CURTAIN-HOOK-D230X240-BK,DEP201902310751052943410
XMAS-CUR600-6M-WH-BUL,DEP201902310759448558018
WBED-B-T3-92-A,DEP201902310754091356863
HM-BED-TASSEL-COT-CR,DEP201902310754091356863
HF-J-TV-F02-226-WHBK-A,DEP201902310751444239204
MATTRESS-TOP-5-K,DEP201902310752047117844
SBED-D-LIN258-GY,DEP201902310751444239204
BFRAME-E-SOHO-Q-CHAR-B,DEP201902310754091356863
MOVER-JOCKEY-MOTO,DEP201902310759589113842
FLR-2133-200X290-GR,DEP201902310752047117844
SHOWER-B2-AQ-8-SI,DEP201902310759589113842
BA-G-7033-NTX2,DEP201902310750063533502
BA-TW-8628-CH,DEP201902310750063533502
SBED-E-LIN195-LI-GY-B,DEP201902310751444239204
WBED-B-01D-137-A,DEP201902310754091356863
FF-BARSET-BK-5B,DEP201709261130013244134
FF-BARSET-BK-7A,DEP201709261130013244134
RCAR-R8-S-BK,DEP201709261130013244134
EB-B-SPIN-YB02-WH,DEP201902310759448558018
GT-D-120X120X200-BK,DEP201902310754091356863
MUM-PIL-B-PK,DEP201902310751052943410
XM-TR-LED-6F-SNOW-GR,DEP201902310759448558018
OTM-A1-H13-LI-GY,DEP201902310751444239204
HBL-NT-120W-SL,DEP201709261130013244134
TARP-CLEAR-6X9,DEP201902310753504667490
SAIL-H-3X6-C-SA,DEP201902310753504667490
BA-TW-NEWH45-BKX4,DEP201902310750063533502
RD-B-4089-6P-GY,DEP201902310750063533502
GH-WALK-30X20-GR,DEP201902310753504667490
SAIL-4X6-F-BLACK,DEP201902310753504667490
BA-TW-8801-BKX2,DEP201902310750063533502
SWAG-WING-S-CE,DEP201902310759589113842
BA-TW-9073-BKX4,DEP201902310750063533502
DIFF-R5A-LW,DEP201902310752047117844
PFN-C-WEA-20-GR,DEP201902310759589113842
WBED-B-01KS-107-A,DEP201902310754091356863
AWN-ARM-45X25-GREY,DEP201902310753504667490
AWN-FIXED-PS-18-GREY,DEP201902310753504667490
FURNI-E-HG-SH-WH-C,DEP201902310751444239204
TV-150-GLOSS-BK-A,DEP201902310751444239204
HM-CHAIR-SQA-CREAM,DEP201902310754091356863
BIN-RACK-22M-A,DEP201902310759448558018
BAT-BOX-SIM,DEP201902310759589113842
UDLAY-WOOL-1000-KS,DEP201902310752047117844
SWAG-DOU-GS-GREY,DEP201902310759589113842
FLR-0303-160X230-BU,DEP201902310752047117844
FLR-0303-160X230-GN,DEP201902310752047117844
PN-S015-BK,DEP201902310752047117844
FURNI-L-COF02-WH-A,DEP201902310751444239204
BBQ-SMOKER-SMALL,DEP201902310754091356863
BN-30-10X10-WH,DEP201902310753504667490
PSP-K300-460-RD,DEP201902310753504667490
FLR-0303-160X230-TL,DEP201902310752047117844
PLAY-MAKEUP-30,DEP201709261130013244134
DIFF-520W-WH-BL,DEP201902310752047117844
FLR-0303-200X230-TL,DEP201902310752047117844
FLR-1888-160X230-BG-BL,DEP201902310752047117844
DL-1090-NDCO-REWH-10,DEP201902310754091356863
QCS-MF-CL-K,DEP201902310752047117844
ODF-LOVESEAT-BR,DEP201709261130013244134
FLR-1888-200X290-BG-BL,DEP201902310752047117844
LUG-ABSPC-2C-3IN1-YEPP,DEP201902310754091356863
BBQ-SMOKER-3IN1,DEP201902310754091356863
MO-BED-W01Q-A,DEP201902310750063533502
FLR-2130-120X170-BG-GR,DEP201902310752047117844
HM-CHAIR-HAYTI-CREAM,DEP201902310754091356863
ST-2000W-BL,DEP201902310752195804722
SAIL-6X8-L-GREY,DEP201902310753504667490
PSP-07A-600-RD,DEP201902310753504667490
BA-TW-8012-BKX2,DEP201902310750063533502
SWAG-SIN-GS-CE,DEP201902310759589113842
ATM-6-1-02M-PK,DEP201902310759448558018
ATM-7-1-02M-PK,DEP201902310759448558018
XM-TR-FULL-7FT-LED,DEP201902310759448558018
DIFF-307-LW,DEP201902310752047117844
FS-LIN-006-GY,DEP201902310750063533502
BA-TW-H45-BLACKX4,DEP201902310750063533502
BA-I-3022-BKX2,DEP201902310750063533502
MBED-B-620K-BK,DEP201902310754091356863
CF-52NL-BK,DEP201902310752047117844
PLAY-DRUM-8,DEP201709261130013244134
FURNI-M-WALL-P60-WH,DEP201902310751444239204
XMAS-FAIRY-12FT,DEP201902310759448558018
HBL-ELG-180W-SL,DEP201709261130013244134
SSKB-WHEEL-4,DEP201902310759589113842
BATTERY-145AH-GR,DEP201902310759589113842
DIFF-R3B-DW,DEP201902310752047117844
WBED-B-01Q-153-A,DEP201902310754091356863
EB-E-SPIN-02-BK,DEP201902310759448558018
PP-10-50X300-BK,DEP201902310753504667490
PB-013-BK,DEP201902310752047117844
PET-GT-CH300-L-BR-A,DEP201902310759589113842
BA-TW-H66-PURPLEX4,DEP201902310750063533502
FURNI-G-DESK-1600-WH-WD,DEP201902310751444239204
IF-STAND-75-BK,DEP201902310752047117844
CAMP-TENT-HIK-V1,DEP201902310759589113842
BA-TW-NEWT307G-BKX2,DEP201902310750063533502
FURNI-L-GS-BF04-BK-A,DEP201902310751444239204
CCTV-IP-BLACK-FC2,DEP201902310754091356863
OD-S1509-BK,DEP201709261130013244134
FURNI-M-WALL-P80-WH,DEP201902310751444239204
XM-TR-ORI-6F-GR,DEP201902310759448558018
LUG-ABSPC-2C-SOLO-BKWH,DEP201902310754091356863
FF-BONDI-BK-D,DEP201709261130013244134
CFW-900-BK,DEP201902310751052943410
BIKE-KID-21978Y,DEP201902310759589113842
