"combined_sku","department_id"
"FURNI-C-SHOE-BEN102-WD-VAR","DEP20170811134628184"
"BA-BB-DSW-PU-WHX4-AB","DEP20180822000000110"
"HASD-114E-BKDF-BKDB-100-VAR","DEP20170811134628184"
"HASD-114E-BKDF-WHDB-100-VAR","DEP20170811134628184"
"FURNI-TV-175-ES-AB","DEP20180822000000110"
"FURNI-TV-175-WH-AB","DEP20180822000000110"
"FURNI-SIDE-SHELF-WHX2","DEP20180822000000110"
"CURTAIN-140-SL-260X2","DEP20180822000000110"
"DIY-B-STORAGE-16-WO-VAR1","DEP20180822000000110"
"EB-F-MB-01-BK-VAR","DEP20170811134628184"
"HASD-114E-BKDF-WODB-140-VAR","DEP20170811134628184"
"HASD-114E-BKDF-BKDB-140-VAR","DEP20170811134628184"
"OCHAIR-9285-BK-VAR","DEP20180822000000110"
"HASD-114E-WHDF-BKDB-100-VAR","DEP20170811134628184"
"SAC-FIX-70-WH-AB-VAR","DEP20170811134628184"
"SB-OVAL-XXL-NAVY-VAR","DEP20180822000000110"
"MATTRESS-BAM-Q-VAR","DEP20180822000000110"
"MATTRESS-MAX-VC-Q-VAR","DEP20180822000000110"
"MATTRESS-0907-S-VAR","DEP20180822000000110"
"SJ-B-1505-BK-VAR","DEP20180822000000110"
"LA-DESK-60-BK-VAR","DEP20170811134628184"
"TW-C-WALL-L-VAR","DEP20180822000000110"
"LA-DESK-FD60-LW-VAR","DEP20170811134628184"
"FURNI-GEN2SHELF-AB","DEP20180822000000110"
"FURNI-GLOSS-BF-WH-AB","DEP20180822000000110"
"FURNI-6DRAWER-ABC","DEP20180822000000110"
"FURNI-GLOSS-SIDE-BKX2","DEP20180822000000110"
"FURNI-NEW-DT-AB","DEP20180822000000110"
"BA-TW-M2503-311-WHX4","DEP20180822000000110"
"FURNI-TV-175-BK-AB","DEP20180822000000110"
"FLR-0303-140X200-GR-VAR","DEP20170811134628184"
"CD-SHELF-ES-AB","DEP20180822000000110"
"CD-SHELF-WH-AB","DEP20180822000000110"
"CT-IN-213-1-SFP-BK","DEP20180822000000110"
"DIY-B-STORAGE-12MIX-LE-VAR","DEP20170811134628184"
"SB-58L-S06-BK-VAR","DEP20170811134628184"
"FURNI-G-SCAN-TV-NT-AB","DEP20180822000000110"
"FURNI-SIDEBOARD-ABC","DEP20180822000000110"
"BA-TW-M2503-66F-WHX4","DEP20180822000000110"
"BA-TW-M2503-WHX4","DEP20180822000000110"
"FURNI-TV-190-AB","DEP20180822000000110"
"FURNI-TV-190-BK-AB","DEP20180822000000110"
"HASD-204-WHDF-WADB-150","DEP20170811134628184"
"RHP-2400-BKX2-VAR","DEP20180822000000110"
"FLR-0303-160X230-GR-VAR","DEP20170811134628184"
"BF-B-127L-SR-VAR1","DEP20170811134628184"
"FLR-0303-160X230-BK-VAR","DEP20170811134628184"
"FLR-0303-200X230-BK-VAR","DEP20170811134628184"
"IF-STAND-75-BK-VAR","DEP20170811134628184"
"HASD-204-WHDF-WADB-150","DEP20170811134628184"
"TW-C-F-ALUM-VAR","DEP20180822000000110"
"HASD-204-WHDF-WODB-160","DEP20170811134628184"
"CD-SHELF-BL-AB","DEP20180822000000110"
"IND-VC60SANDER","DEP20180822000000110"
"HASD-GYDF-DB-WA-140-VAR3","DEP20170811134628184"
"XM-TR-WELL-7F-SNOW-VAR3","DEP20170811134628184"
"GA-SDOOR-BK-VAR1","DEP20180822000000110"
"BP-C-15P-VAR","DEP20170811134628184"
"FLR-0303-140X200-BK-VAR","DEP20170811134628184"
"LA-DESK-GEN-L2-WH-VAR","DEP20180822000000110"
"LA-DESK-LEO-L1-BK-VAR","DEP20180822000000110"
"ODF-WAGON-PARENT","DEP20170811134628184"
"MATTRESS-FM-9H-S-VAR","DEP20180822000000110"
"TRAMPO-C16-MC-ABC","DEP20170811134628184"
"SCOVER-MERBAU-1-NY-VAR","DEP20170811134628184"
"SBED-S290-FABRIC-ABC-VAR","DEP20180822000000110"
"MP-TC-S-VAR","DEP20180822000000110"
"MATTRESS-BET2-K-VAR","DEP20180822000000110"
"FBA-SB-ENV-S-BL","DEP20180822000000110"
"MAIL-BOX-04-100PCS-VAR","DEP20170811134628184"
"SB-ENV-D-UB-VAR","DEP20180822000000110"
"MATTRESS-FIRM-024-Q-VAR","DEP20170811134628184"
"RHP-2400-BKX2","DEP20180822000000110"
"MATTRESS-0908-S-VAR","DEP20180822000000110"
"DRESS-B-8063-BK-VAR","DEP20180822000000110"
"DRESS-B-8063-WH-VAR","DEP20180822000000110"
"MAIL-BOX-04-200PCS-VAR","DEP20170811134628184"
"DRESS-B-8064-BK-VAR","DEP20180822000000110"
"MP-NW-Q-VAR2","DEP20180822000000110"
"AF-K-02D-8-WH-VAR","DEP20180822000000110"
"MATTRESS-13-WB-10-VAR","DEP20180822000000110"
"HASD-GYDF-DB-WO-100-VARX","DEP20170811134628184"
"EB-ALL-PARENT","DEP20170811134628184"
"CT-IN-213-1-SFP-RD","DEP20180822000000110"
"CT-IN-739A-SFP-RD","DEP20180822000000110"
"SCOVER-MERBAU-2-NY-VAR","DEP20170811134628184"
"BAM-B-SR14-NT-VAR","DEP20170811134628184"
"HASD-114E-WHDF-BKDB-100","DEP20170811134628184"
"OCHAIR-90052-BG-VAR","DEP20180822000000110"
"MATTRESS-DOUBLE-VARN","DEP20180822000000110"
"OCHAIR-9127-BK-VAR2","DEP20180822000000110"
"OCHAIR-8147-BK-VAR1","DEP20180822000000110"
"BA-BB-DSW-55Y-BKX4-VAR","DEP20180822000000110"
"BA-BB-DSW-55Y-GYX4-VAR","DEP20180822000000110"
"SBED-G198-LI-GY-AB","DEP20170811134628184"
"DIFF-R3B-LW-VAR","DEP20180822000000110"
"DIFF-R3B-DW-VAR","DEP20180822000000110"
"OCHAIR-1225-GY-VAR","DEP20170811134628184"
"MATTRESS-0907-KS-VAR","DEP20180822000000110"
"MATTRESS-FIRM-024-K-VAR","DEP20170811134628184"
"OCHAIR-KD-8706B-BK-VAR","DEP20170811134628184"
"FD-E-310-SS-VAR","DEP20170811134628184"
"FD-031-10-VAR2","DEP20170811134628184"
"OCHAIR-KD-R61PFR-RD-BK-VAR","DEP20170811134628184"
"CT-IN-739A-SFP-BK","DEP20180822000000110"
"FAN-BDL-C-SI-VAR","DEP20170811134628184"
"BAM-B-FS68C-NT-VAR","DEP20170811134628184"
"XMAS-FAIRY-SOLAR-7FT-VAR1","DEP20170811134628184"
"IH-B21-BK-VAR","DEP20170811134628184"
"XMAS-FAIRY-12FT-VAR1","DEP20170811134628184"
"SCOVER-MERBAU-3-NY-VAR","DEP20170811134628184"
"HM-TIM-CHAIR-RAB-AB","DEP20170811134628184"
"MATTRESS-13-WB-01-S-VAR","DEP20180822000000110"
"OCHAIR-8147-HIGH-BK-VAR","DEP20180822000000110"
"PIPE-DIY-HANGER-VAR","DEP20180822000000110"
"HASD-GYDF-DB-BK-100","DEP20170811134628184"
"OCHAIR-9174-BU-VAR","DEP20180822000000110"
"SWAG-DOU-GS-BE-POLE","DEP20170811134628184"
"SWAG-DOU-GS-CAM-G2-POLE","DEP20170811134628184"
"SWAG-DOU-GS-CAM-D1-VAR","DEP20180822000000110"
"MATTRESS-TOP-K-5GEL-VAR","DEP20180822000000110"
"SBED-C-SET100-GY-ABC","DEP20170811134628184"
"MUM-PIL-US-COF-VAR","DEP20180822000000110"
"MATTRESS-TOPPER-KS-VAR","DEP20180822000000110"
"PET-DOGPLAYPEN-H100-VAR","DEP20170811134628184"
"FD-E-306-SS-VAR","DEP20170811134628184"
"VAC-CL-09E-GY-PP-VAR1","DEP20170811134628184"
"VAC-CL-09E-GY-RD-VAR1","DEP20170811134628184"
"VAC-CL-150-RD-BK-VAR1","DEP20170811134628184"
"OCHAIR-KD-R26-GR-VAR","DEP20170811134628184"
"IH-G21-BK-VAR","DEP20170811134628184"
"XM-TR-LED-8F-GR-VAR","DEP20180822000000110"
"XM-TR-LED-7F-FAIRY-GR-VAR","DEP20180822000000110"
"OCHAIR-KD-R26-BU-VAR","DEP20170811134628184"
"FURNI-TV-120-WH-AB-VAR","DEP20170811134628184"
"FURNI-G-SCAN-TV-NT-AB-VAR","DEP20170811134628184"
"OCHAIR-90052-BG-VAR1","DEP20180822000000110"
"AF-K-801-A-BL-VAR","DEP20180822000000110"
"FURNI-G-CHIC-TV-WH-WD-VAR","DEP20170811134628184"
"MP-TC-D-VAR1","DEP20180822000000110"
"FURNI-TV-120-BK-AB-VAR","DEP20170811134628184"
"MATTRESS-FIRM23-D-VARN","DEP20180822000000110"
"MATTRESS-FIRM23-Q-VARN","DEP20180822000000110"
"MATTRESS-GEL-D-VARN","DEP20180822000000110"
"OCHAIR-9127-BG-VAR2","DEP20180822000000110"
"MP-BAM-Q-VAR2","DEP20180822000000110"
"MP-BAM-S-VAR1","DEP20180822000000110"
"HASD-GYDF-DB-WA-100-VAR2","DEP20170811134628184"
"FURNI-F-TONI-TV180-AB-VAR","DEP20170811134628184"
"TW-D-7-BK-VAR","DEP20170811134628184"
"XMAS-INF-TREE-6FT-VAR","DEP20170811134628184"
"HOF-DR-4-NAP-01-AB","DEP20180822000000110"
"XMAS-INF-REIN-5M-VAR","DEP20170811134628184"
"OCHAIR-8147-WH-VAR1","DEP20180822000000110"
"BA-BB-DSW-BLACKX6-VAR","DEP20180822000000110"
"BA-BB-DSW-BLACKX8-VAR","DEP20180822000000110"
"SCOVER-PAD-3-GY-VAR","DEP20170811134628184"
"FURNI-C-SAVE-102-WH-VAR","DEP20170811134628184"
"FURNI-G-SIDE126-WH-VAR","DEP20170811134628184"
"ECO-DHP-60L-BK-VAR","DEP20170811134628184"
"PET-CAT-HSCT015-AB","DEP20180822000000110"
"RH-SS-90-CT-739A","DEP20180822000000110"
"RH-4S-B07-CT-213","DEP20180822000000110"
"SBED-190S-LEA-ABC","DEP20180822000000110"
"SBED-190S-LIN-ABC","DEP20180822000000110"
"MP-TC-K-VAR","DEP20180822000000110"
"FURNI-GLOSS-SIDE-WHX2-VAR","DEP20180822000000110"
"PIPE-DIY-PAPERX2","DEP20180822000000110"
"HASD-BKDF-DB-WA-100-VAR2","DEP20180822000000110"
"SBED-SOFA-PU-BK-VAR","DEP20180822000000110"
"FURNI-BF-SB-BK-AB","DEP20180822000000110"
"SB-K2008-BL-SB","DEP20180822000000110"
"FD-SS-8-VAR1","DEP20180822000000110"
"HOF-DR-5-NAP-03-AB","DEP20180822000000110"
"IM-ZB-01-BK-BM-KIT","DEP20180822000000110"
"IM-ZB-01-WH-BM-KIT","DEP20180822000000110"
"IM-ZB-07-WH-BM-KIT","DEP20180822000000110"
"DESK-CORNER-140-VAR","DEP20170811134628184"
"MATTRESS-19-BFRAME-BK-S","DEP20180822000000110"
"SCOVER-PAD-1-CF-VAR","DEP20170811134628184"
"MATTRESS-TOP-D-8GEL-VAR","DEP20180822000000110"
"CHP-GLASS-2000-BK-VAR","DEP20170811134628184"
"MP-BAM-K-VAR1","DEP20180822000000110"
"MP-BAM-K-VAR","DEP20180822000000110"
"TW-C-Y-ALUM-VAR","DEP20180822000000110"
"SJ-B-1505-RD-VAR","DEP20180822000000110"
"SBED-053-LI-GY-2AB-E-VAR","DEP20170811134628184"
"SBED-053-LI-GY-AB-VAR","DEP20170811134628184"
"SBED-053-LI-GY-E-VAR","DEP20170811134628184"
"EB-C-ELLI-03-4IN-BK-VAR","DEP20170811134628184"
"MATTRESS-13-WB-01-KS-VAR","DEP20180822000000110"
"SB-R70L-SS-VAR","DEP20170811134628184"
"MUM-PIL-BLU-BR-WH","DEP20180822000000110"
"FD-LCD-7-SS-BK","DEP20180822000000110"
"FD-LCD-7-RD-BK","DEP20180822000000110"
"VAC-CL-150-GY-PP-VAR1","DEP20170811134628184"
"SBED-C-EP05-GY-ABCE","DEP20170811134628184"
"FURNI-GLOSS-TV-150-AB","DEP20180822000000110"
"XM-TR-FULL-6FT-GR-VAR","DEP20170811134628184"
"SBED-C-SET100-GY-A-VAR","DEP20170811134628184"
"CEG-D5C-SINGLE-VAR","DEP20180822000000110"
"HASD-B-Z-S-BK-VAR","DEP20170811134628184"
"OCHAIR-M-RACER-BKBU-VAR","DEP20180822000000110"
"BFRAME-Q-PARENT","DEP20170811134628184"
"MP-NW-S-VAR","DEP20180822000000110"
"BA-BB-DSW-56FBX2-VAR","DEP20180822000000110"
"PET-DH-P432-GR-VAR","DEP20170811134628184"
"FIK-CT-LJQ003-VAR","DEP20180822000000110"
"VAC-008-BK-ML","DEP20180822000000110"
"STV-UHD-65-SI-VAR","DEP20170811134628184"
"MP-TC-D-VAR","DEP20180822000000110"
"XMAS-INF-SNO-8FT-VAR","DEP20170811134628184"
"FURNI-SHOE-3D3-WH-BK-AB","DEP20180822000000110"
"WINE-RACK-WALL-NT-VAR","DEP20180822000000110"
"WINE-RACK-WALL-BR-VAR","DEP20180822000000110"
"FURNI-SHOE-3D3-WH-BK-VAR","DEP20180822000000110"
"EPH-3000-SS-VAR","DEP20170811134628184"
"EPH-2000-BK-VAR","DEP20170811134628184"
"EPH-2500-SS-VAR","DEP20170811134628184"
"FURNI-TV-190-WH-AB","DEP20180822000000110"
"SBED-C-SET100-GY-B-VAR","DEP20170811134628184"
"SBED-C-SET100-GY-C-VAR","DEP20170811134628184"
"FURNI-C-DESK-JUNI-WH-AB-VAR","DEP20170811134628184"
"XM-TR-FULL-6FT-GR -VAR","DEP20180822000000110"
"DIFF-AD26-DW-VAR","DEP20170811134628184"
"DESK-140M-WH-AB-VAR","DEP20170811134628184"
"ECO-DHP-SS-VAR","DEP20180822000000110"
"OCHAIR-KD-1878F-BK-VAR","DEP20170811134628184"
"MATTRESS-FIRM-024-KS-VAR","DEP20170811134628184"
"MATTRESS-FIRM-024-D-VAR","DEP20170811134628184"
"FURNI-F-CUB8-WH-VAR","DEP20170811134628184"
"FURNI-SHOE-NEW4D-AB","DEP20180822000000110"
"SBED-053-LI-GY-ABE-VAR","DEP20170811134628184"
"SBED-053-LI-GY-CDE-VAR","DEP20170811134628184"
"RHP-1800-BKX2","DEP20180822000000110"
"SB-K2008-BB-VAR","DEP20180822000000110"
"FURNI-TV-118-WH-AB","DEP20180822000000110"
"FURNI-CHANGE-DIN-WH-AB","DEP20180822000000110"
"SHOEBOX-PP-20X2","DEP20180822000000110"
"FD-031-T-8-VAR","DEP20180822000000110"
"OCHAIR-8706B-BK-VAR","DEP20180822000000110"
"MP-NW-KS-VAR2","DEP20180822000000110"
"MP-NW-K-VAR1","DEP20180822000000110"
"MP-NW-K-VAR2","DEP20180822000000110"
"MP-NW-Q-VAR1","DEP20180822000000110"
"MP-NW-S-VAR2","DEP20180822000000110"
"MP-TC-D-VAR2","DEP20180822000000110"
"XM-TR-SLIM-7F-GR-VAR2","DEP20170811134628184"
"CURTAIN-240-GRX2","DEP20180822000000110"
"XM-TR-GAR-24-SNOW-VAR2","DEP20170811134628184"
"BA-BB-DSW-56FBX4-VAR","DEP20180822000000110"
"SB-ENV-S-BLX2","DEP20180822000000110"
"MP-BAM-D-VAR","DEP20180822000000110"
"RECLINER-A1-BG-AB","DEP20180822000000110"
"MP-BF-D-VAR3","DEP20170811134628184"
"MP-BF-K-VAR3","DEP20170811134628184"
"FURNI-C-SMTV-180-WH-AB","DEP20180822000000110"
"DESK-SHEF-150-WH-AB","DEP20180822000000110"
"BA-BB-NERT-GYX2-VAR","DEP20180822000000110"
"SAC-INV-25-WH-AB","DEP20180822000000110"
"XM-TR-ORI-7F-LED-800-STRING-MC","DEP20180822000000110"
"MUM-PIL-PK-BR-GR","DEP20180822000000110"
"OCHAIR-9127-BK-C-90","DEP20180822000000110"
"HASD-DF-DB-BK-140","DEP20180822000000110"
"HASD-DF-DB-BK-C-140","DEP20180822000000110"
"IM-ZB-07-BK-BM-KIT","DEP20180822000000110"
"IM-ZB-07-SR-BM-KIT","DEP20180822000000110"
"BABY-GC-TF04T-BE-VAR","DEP20180822000000110"
"BABY-GC-TF04T-WB-VAR","DEP20180822000000110"
"BABY-GC-TF04T-WH-VAR","DEP20180822000000110"
"BABY-GC-TF05T-NAT-VAR","DEP20180822000000110"
"FURNI-G-TB128-WH-VAR","DEP20170811134628184"
"BA-BB-DSW-PP-WHX4-VARN","DEP20170811134628184"
"XMAS-INF-SAN-7FT-WAV-VAR","DEP20170811134628184"
"WBLANKET-CT-7KG-VAR1","DEP20170811134628184"
"PFN-C-BAR-100-VAR2","DEP20180822000000110"
"FURNI-G-TIS382-WH-VAR","DEP20170811134628184"
"XM-TR-WELL-7F-GR-LED-VARN","DEP20170811134628184"
"SCOVER-PAD-2-CF-VAR","DEP20170811134628184"
