sku,asin,type,product_sku,product_asin
LA-DESK-60-PARENT,B079TMPLSL,,LA-DESK-60-WH,B07DCMZ6M1
LA-DESK-FD60-PARENT,B07MQCGXYZ,,LA-DESK-FD60-DW,B07MQ7V9NY
LA-DESK-FD60-PARENT,B07MQCGXYZ,,LA-DESK-FD60-LW,B07MFSGV6V
LA-DESK-GEN-L2-PARENT,B0789DQBPJ,,LA-DESK-GEN-L2-BK,B078D78NY6
LA-DESK-GEN-L2-PARENT,B0789DQBPJ,,LA-DESK-GEN-L2-WH,B077YGCKHF
LA-DESK-LEO-L1-PARENT,B0789MMG5V,,LA-DESK-LEO-L1-BK,B077YHT3HR
LA-DESK-LEO-L1-PARENT,B0789MMG5V,,LA-DESK-LEO-L1-WA,B0776SVH4R
LA-DESK-LEO-L1-PARENT,B0789MMG5V,,LA-DESK-LEO-L1-WH,B077YG5C55
LA-DESK-SD-PARENT,B079TMVVQT,,LA-DESK-SD-DW,B079TLWB3Q
LA-DESK-SD-PARENT,B079TMVVQT,,LA-DESK-SD-LW,B079TMWLF3
LC-BAR-ALEX-WAL-VAR-PARENT,B07QL4Y4TT,,LC-BAR-TAB-ALEX-WAL,B07QQBZKQV
LHL-BRT3000-PARENT,B07V7BGBFN,,LHL-BRT3000-BK,B07BGWGMHY
LHL-BRT3000-PARENT,B07V7BGBFN,,LHL-BRT3000-BK-FC2,B07BGWKBLX
LHL-BRT5000-PARENT,B07V995T8L,,LHL-BRT5000-BK,B07BGSQTJW
LHL-BRT5000-PARENT,B07V995T8L,,LHL-BRT5000-BK-FC2,B07BGTLD1D
LHL-BRT5LED-PARENT,B07V98HPNG,,LHL-BRT5LED-BK,B07BGWJ26T
LHL-BRT5LED-PARENT,B07V98HPNG,,LHL-BRT5LED-BK-FC2,B07BGXMPV7
LIGHT-B-A19-PARENT,B07SJYFB14,,LIGHT-B-A19-20-WW,B07M5SXCRG
LIGHT-B-A19-PARENT,B07SJYFB14,,LIGHT-B-A19-40-WW,B07MGQXTT9
LIGHT-B-A19-PARENT,B07SJYFB14,,LIGHT-B-A19-50-WW,B07MKC6J8W
LIGHT-B-A19-PARENT,B07SJYFB14,,XMAS-CUR600-6M-WARM,B07D9GD2J6
LIGHT-B-A19-PARENT,B07SJYFB14,,XMAS-CUR600-6M-WARM-BUL,B07JJ9JNTY
LIGHT-B-A19-PARENT,B07SJYFB14,,XMAS-CUR600-6M-WH,B07D9FRKMN
LIGHT-B-A19-PARENT,B07SJYFB14,,XMAS-CUR600-6M-WH-BUL,B07JHQJFH2
LIGHT-B-G45-PARENT,B07TX95NJB,,LIGHT-B-G45-20-MC,B07MGR4HF2
LIGHT-B-G45-PARENT,B07TX95NJB,,LIGHT-B-G45-20-WW,B07MGR4XQL
LIGHT-B-G45-PARENT,B07TX95NJB,,LIGHT-B-G45-40-MC,B07MD581J9
LIGHT-B-G45-PARENT,B07TX95NJB,,LIGHT-B-G45-40-WW,B07MGQY1CF
LIGHT-B-G45-PARENT,B07TX95NJB,,LIGHT-B-G45-50-WW,B07MGQYDRZ
LIGHT-B-G45-PARENT,B07TX95NJB,,XMAS-CUR300-3M-WARM-BUL,B07JJRRMHM
LIGHT-B-G45-PARENT,B07TX95NJB,,XMAS-CUR300-3M-WH-BUL,B07JJS97ZJ
LIGHT-B-G45-PARENT,B07TX95NJB,,XMAS-LED-800-IC-WH,B0776TL8QV
LIGHT-B-G45-PARENT,B07TX95NJB,,XMAS-LED-800-IC-WW,B0776V93YS
LIGHT-B-G80-PARENT,B07VBDW3J7,,LIGHT-B-G80-20-WW,B07M9KKTK2
LIGHT-B-G80-PARENT,B07VBDW3J7,,LIGHT-B-G80-40-WW,B07MNC128F
LUG-28-BK,B07LFWWQKX,,LUG-ABS-28-BLACK,B0777H5HVC
LUG-28-BK,B07LFWWQKX,,LUG-ABS-CLA-20-BK,B07JPYMVXC
LUG-28-BK,B07LFWWQKX,,LUG-ABS-CLA-20-BU,B07GH2B1N6
LUG-28-BK,B07LFWWQKX,,LUG-ABS-CLA-24-BK,B07GGMJ2B7
LUG-28-BK,B07LFWWQKX,,LUG-ABS-CLA-28-BK,B07GGMSM8M
LUG-28-BK,B07LFWWQKX,,LUG-ABS-CLA-28-BU,B07GGLJFYW
LUG-3IN1-BLUE-PARENT,B07KC6FFSL,,LUG-ABS-CLA-2SET-BK,B07HXRWPGH
LUG-3IN1-BLUE-PARENT,B07KC6FFSL,,LUG-ABS-CLA-2SET-BU,B07HY4K3TF
LUG-3IN1-BLUE-PARENT,B07KC6FFSL,,LUG-ABS-CLA-2SET-RE,B07HXV6SSW
LUG-3IN1-BLUE-PARENT,B07KC6FFSL,,LUG-ABS-CLA-3SET-BK,B07JP7WC4K
LUG-3IN1-BLUE-PARENT,B07KC6FFSL,,LUG-ABS-CLA-3SET-BU,B07JPY2XCD
LUG-3IN1-BLUE-PARENT,B07KC6FFSL,,LUG-ABS-CLA-3SET-SV,B07GGQ82CL
LUG-3IN1-BLUE-PARENT,B07KC6FFSL,,LUG-ABS-CLA-3SET-WH,B07GGTJL3S
LUG-ABS-AJ-PARENT,B07NWFS16H,,LUG-ABS-AJ-2SET-BK,B07JPYR7GH
LUG-ABS-AJ-PARENT,B07NWFS16H,,LUG-ABS-AJ-2SET-WH,B07JNKDB2X
LUG-ABS-AJ-PARENT,B07NWFS16H,,LUG-ABS-AJ-3SET-BK,B07JNPSK9S
LUG-ABS-AJ-PARENT,B07NWFS16H,,LUG-ABS-AJ-3SET-WH,B07JXYS8KK
LUG-ABS-BOS-2SET-PARENT,B07VGVFLVP,,LUG-ABS-BOS-2SET-BK,B07VDD7DCB
LUG-ABS-BOS-2SET-PARENT,B07VGVFLVP,,LUG-ABS-BOS-2SET-BU,B07VGGK75W
LUG-ABS-BOS-3SET-PARENT,B07VHZG349,,LUG-ABS-BOS-3SET-BK,B07VFH9YVV
LUG-ABS-BOS-3SET-PARENT,B07VHZG349,,LUG-ABS-BOS-3SET-BU,B07VFH7NK7
LUG-ABS-BOS-3SET-PARENT,B07VHZG349,,LUG-ABS-BOS-3SET-SV,B07VCD5H8B
LUG-ABS-BOS-PARENT,B07VJYTCTH,,LUG-ABS-BOS-20-BK,B07VGG9Y4B
LUG-ABS-BOS-PARENT,B07VJYTCTH,,LUG-ABS-BOS-28-BK,B07VGFQKKN
LUG-ABS-ECO-3SET-PARENT,B07VTZZW4F,,LUG-ABS-3IN1-BLUE,B0777NMRHX
LUG-ABS-LINE-3SET-PARENT,B07NWKFJ4H,,LUG-ABS-LINE-2SET-BK,B07JPGG4CQ
LUG-ABS-LINE-3SET-PARENT,B07NWKFJ4H,,LUG-ABS-LINE-2SET-WH,B07JP7SCKD
LUG-ABS-LINE-3SET-PARENT,B07NWKFJ4H,,LUG-ABS-LINE-3SET-BK,B07JPY96PD
LUG-ABS-LINE-3SET-PARENT,B07NWKFJ4H,,LUG-ABS-LINE-3SET-BU,B07JPFYJFN
LUG-ABS-LINE-3SET-PARENT,B07NWKFJ4H,,LUG-ABS-LINE-3SET-MX,B07JPJ4W1R
LUG-ABS-LINE-3SET-PARENT,B07NWKFJ4H,,LUG-ABS-LINE-3SET-WH,B07JP8W4T1
LUG-ABSPC-SINGLE-PARENT,B07P33C5VK,,LUG-ABSPC-2C-SOLO-YEPP,B0784FF4QJ
LUG-ABSPC-SINGLE-PARENT,B07P33C5VK,,LUG-ABSPC-SOLO-GREY,B07778JR9Z
LUG-ABSPC-SINGLE-PARENT,B07P33C5VK,,LUG-ABSPC-SOLO-SILVER,B0777KRD9L
LUG-ABS-SPA-PARENT,B07NZRPY1Y,,LUG-ABS-SPA-3SET-BK,B07FMR5B1Q
LUG-ABS-SPA-PARENT,B07NZRPY1Y,,LUG-ABS-SPA-3SET-BU,B07FMKPP7B
LUG-ABS-SPA-PARENT,B07NZRPY1Y,,LUG-ABS-SPA-3SET-SV,B07FMSKP5L
LUG-PC-2C-PARENT,B07NWGV1TD,,LUG-PC-2C-28-YEPP,B07GBLQ7J8
LUG-PC-2C-PARENT,B07NWGV1TD,,LUG-PC-2C-2SET-BKWH,B07GGRXKLK
LUG-PC-2C-PARENT,B07NWGV1TD,,LUG-PC-2C-2SET-YEPP,B07GGV2R5J
LUG-PC-2C-PARENT,B07NWGV1TD,,LUG-PC-2C-3SET-BKWH,B07GBLPX6Z
LUG-PC-2C-PARENT,B07NWGV1TD,,LUG-PC-2C-3SET-YEPP,B07JPHKFNM
LUG-PP-LINE-28-PARENT,B07NZRKWQL,,LUG-PP-LINE-28-BK,B07NZSD792
LUG-PP-LINE-28-PARENT,B07NZRKWQL,,LUG-PP-LINE-28-PK,B07JB6RTW1
LUG-PP-LINE-PARENT,B07NZTDSWD,,LUG-PP-LINE-2SET-BK,B07JD4BQBS
LUG-PP-LINE-PARENT,B07NZTDSWD,,LUG-PP-LINE-2SET-PK,B07JB6RJVF
LUG-PP-LINE-PARENT,B07NZTDSWD,,LUG-PP-LINE-3SET-BK,B07JB6X27J
LUG-PP-LINE-PARENT,B07NZTDSWD,,LUG-PP-LINE-3SET-PK,B07JB6WZ7G
MA-B-C-PARENT,B07MX69JB3,,MA-B-D-C24-BK,B07MGWLZGN
MA-B-C-PARENT,B07MX69JB3,,MA-B-S-C12-BK,B07M9Q259B
MA-GAS-PARENT,B0787V1BFQ,,MA-D-GAS-BK,B07NVZR6NT
MA-GAS-PARENT,B0787V1BFQ,,MA-D-GAS-USB-BK,B07DQJGYHJ
MA-GAS-PARENT,B0787V1BFQ,,MA-D-GAS-WH,B07H559SX8
MA-GAS-PARENT,B0787V1BFQ,,MA-S-GAS-BK,B07NVZVHW9
MA-GAS-PARENT,B0787V1BFQ,,MA-S-GAS-USB-BK,B07NW8CLXQ
MA-GAS-PARENT,B0787V1BFQ,,MA-S-GAS-WH,B07H54S3ZZ
MAIL-BOX-01-PARENT,B07MXB5TC8,,MAIL-BOX-01-100PCS,B07M8433TY
MAIL-BOX-01-PARENT,B07MXB5TC8,,MAIL-BOX-01-50PCS,B07MQSDNX8
MAIL-BOX-02-PARENT,B07MXF3V7D,,MAIL-BOX-02-200PCS,B07MK1WXX7
MAIL-BOX-03-PARENT,B07MXC1726,,MAIL-BOX-03-100PCS,B07MK1WV3Q
MAIL-BOX-04-PARENT,B07MXF5TLW,,MAIL-BOX-04-100PCS,B07MGFYKN4
MAIL-BOX-05-PARENT,B07MX7KWNG,,MAIL-BOX-05-100PCS,B07MK1X8VV
MAIL-BOX-PARENT,B07MX6VSMT,,MAIL-BOX-03-200PCS,B07M84398J
MAIL-BOX-PARENT,B07MX6VSMT,,MAIL-BOX-04-200PCS,B07MCSVLWF
MAIL-BOX-PARENT,B07MX6VSMT,,MAIL-BOX-04-50PCS,B07MMLW481
MAIL-BOX-PARENT,B07MX6VSMT,,MAIL-BOX-05-200PCS,B07M842P57
MASCHR-OGW-PARENT,B07TSND1C1,,MASCHR-OGW-622B-BK-A,
MASCHR-OGW-PARENT,B07TSND1C1,,MASCHR-OGW-622B-BK-B,
MASCHR-OGW-PARENT,B07TSND1C1,,MASCHR-OGW-622B-BK-C,
MASCHR-OGW-PARENT,B07TSND1C1,,MASCHR-OGW-622B-CR-A,
MASCHR-OGW-PARENT,B07TSND1C1,,MASCHR-OGW-622B-CR-B,
MASCHR-OGW-PARENT,B07TSND1C1,,MASCHR-OGW-622B-CR-C,
