sku,asin,type,product_sku,product_asin
BA-TW-8006A-WHX2,B0785QQVTF,Combo,BA-TW-8006A-WH,B076P28TS8
BA-TW-8011-BZX4,B07DVGBKCZ,Combo,BA-TW-8011-BZX2,B07B9RSTJY
BA-TW-8012-BKX4,B07DVHW513,Combo,BA-TW-8012-BKX2,B07DVSK12W
BA-TW-8031-FAB-GYX2,B0785QLJRB,Combo,BA-TW-8031-FAB-GY,B076NZZDK5
BA-TW-8031-PU-BKX2,B077Z3MCZ3,Combo,BA-TW-8031-PU-BK,B0776NMWH4
BA-TW-8035-BKX4,B078HMB8JL,Combo,BA-TW-8035-BKX2,B077YHB824
BA-TW-8035-WHX4,B078HVCQV6,Combo,BA-TW-8035-WHX2,B077YFLHRK
BA-TW-8037-BKX4,B078HZL3YT,Combo,BA-TW-8037-BKX2,B076P4GWGB
BA-TW-8045-BKX2,B0785QHP9K,Combo,BA-TW-8045-BK,B077YHY9YB
BA-TW-8045-WHX2,B0785SM6RJ,Combo,BA-TW-8045-WH,B077YG3WQL
BA-TW-8065-BKX2,B077Z96P1D,Combo,BA-TW-8065-BK,B077YGMGTL
BA-TW-8065-WHX2,B0785SG8SX,Combo,BA-TW-8065-WH,B077YHCC3S
BA-TW-8089-BKX4,B078HXKDYD,Combo,BA-TW-8089-BKX2,B077YBV9FM
BA-TW-8089-WHX4,B078HRZDYX,Combo,BA-TW-8089-WHX2,B077YJM2JL
BA-TW-8095-WALX2,B07FDYXK92,Combo,BA-TW-8095-WAL,B07FF6C7NP
BA-TW-8123C-BKX2,B0785SP2PH,Combo,BA-TW-8123C-BK,B076P2ZZ9G
BA-TW-8482-CHX4,B078HP65QP,Combo,BA-TW-8482-CHX2,B077YH73XX
BA-TW-8565-BKX2-AB,B077YGD81G,Combo,BA-TW-8565-BKX2-A,
BA-TW-8565-BKX2-AB,B077YGD81G,Combo,BA-TW-8565-BKX2-B,
BA-TW-8565-WHX2-AB,B077YFFTX4,Combo,BA-TW-8565-WHX2-B,
BA-TW-8565-WHX2-AB,B077YFFTX4,Combo,BA-TW-8565-WHX2-A,
BA-TW-8569-BKX2-AB,B077YHXWQM,Combo,BA-TW-8569-BKX2-B,
BA-TW-8569-BKX2-AB,B077YHXWQM,Combo,BA-TW-8569-BKX2-A,
BA-TW-8569-CHX4-AB,B07M63SY2D,Combo,BA-TW-8569-CHX2-B,
BA-TW-8569-CHX4-AB,B07M63SY2D,Combo,BA-TW-8569-CHX2-A,
BA-TW-8569-GAS-BKX2,B07M63T6WL,Combo,BA-TW-8569-GAS-BK,B07M63TVQ6
BA-TW-8569-H76-BKX2-AB,B07TS1S5Z1,Combo,BA-TW-8569-H76-BKX2-A,
BA-TW-8569-H76-BKX2-AB,B07TS1S5Z1,Combo,BA-TW-8569-H76-BKX2-B,
BA-TW-8602-WHX2,B077YXSS9L,Combo,BA-TW-8602-WH,B0785P3J1K
BA-TW-8628-CHX2,B077Z7LV7D,Combo,BA-TW-8628-CH,B0776PFX6T
BA-TW-8701-BZX4,B078HYL6MW,Combo,BA-TW-8701-BZX2,B077YKSQHN
BA-TW-8782-BKX4,B078HP8PHQ,Combo,BA-TW-8782-BKX2,B0785QCVMK
BA-TW-8801-BKX4,B078HMF1TD,Combo,BA-TW-8801-BKX2,B077Z67JZJ
BA-TW-8801-WHX4,B078J1Q44B,Combo,BA-TW-8801-WHX2,B077Z95SX7
BA-TW-8809-GYX2-AB,B07DCS7RWB,Combo,BA-TW-8809-GYX2-A,
BA-TW-8809-GYX2-AB,B07DCS7RWB,Combo,BA-TW-8809-GYX2-B,
BA-TW-8836-BKX2-AB,B07DCRDBD4,Combo,BA-TW-8836-BKX2-A,
BA-TW-8836-BKX2-AB,B07DCRDBD4,Combo,BA-TW-8836-BKX2-B,
BA-TW-8890-BKX4,B07DCS6C7L,Combo,BA-TW-8890-BKX2,B07DCQM2CP
BA-TW-9076A-BKX4,B078HVKC4C,Combo,BA-TW-9076A-BKX2,B077YHFPLM
BA-TW-9076A-WHX4,B078HR2NN3,Combo,BA-TW-9076A-WHX2,B077YKR3R5
BA-TW-9076-BKX4,B078HR6WDG,Combo,ba-tw-9076-BKX2,B0776QNZ2B
BA-TW-9076-WHX4,B078HP62X3,Combo,BA-TW-9076-WHX2,B077YKCV1G
BA-TW-9078-BKX4,B078HP8TT8,Combo,BA-TW-9078-BKX2,B0776NJLSV
BA-TW-9090-BKX4,B078HR4P6M,Combo,BA-TW-9090-BKX2,B077YG8VXY
BA-TW-9090-H65-BKX4,B078HYM6HH,Combo,BA-TW-9090-H65-BKX2,B077YHWNVF
BA-TW-9090-NTX4,B078J3PXQF,Combo,BA-TW-9090-NTX2,B077YKLT1Q
BA-TW-9091-BKX4,B078HYPKNX,Combo,BA-TW-9091-BKX2,B078HP8M4X
BA-TW-9-ETON-COPX4,B078HZHTTH,Combo,BA-TW-9-ETON-COPX2,B077YKCV1K
BA-TW-INDSTOOL-098X2,B077Z7LFJG,Combo,BA-TW-INDSTOOL-098,B077YGV7R5
BA-TW-M2503-66DX4,B078HR4R37,Combo,BA-TW-M2503-66DX2,B077YFTM5S
